Transect,Meter,Zone,Small,Medium,Large
1,1,Dry,0,0,0
1,2,Dry,0,0,0
1,3,Dry,0,1,0
1,4,Dry,9,1,0
1,5,Swash,8,2,0
1,6,Swash,4,3,3
1,7,Swash,0,5,2
1,8,Swash,0,0,0
1,9,Swash,0,0,0
1,10,Swash,2,1,3
2,1,Dry,0,0,0
2,2,Dry,0,0,0
2,3,Dry,0,0,0
2,4,Dry,0,0,0
2,5,Swash,1,0,0
2,6,Swash,6,2,0
2,7,Swash,0,0,0
2,8,Swash,0,0,1
2,9,Swash,5,2,0
2,10,Swash,1,0,0
